warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.002.229 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.002.314 I srv          init: The UI is disabled
0.00.002.323 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.002.376 W srv  llama_server: -----------------
0.00.002.383 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.002.384 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.002.384 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.002.384 W srv  llama_server: -----------------
0.00.003.649 I srv    load_model: loading model '/workspace/scratch/b33fb38091a9/kyc-local-model/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.00.342.004 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.510.526 I cmn          init: llama threadpool init, n_threads = 6
0.01.601.252 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.01.605.347 I srv  llama_server: model loaded
0.01.605.365 I srv  llama_server: listening on http://127.0.0.1:8765
0.02.279.888 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.56.426.371 I slot print_timing: id  0 | task 3578 |    graphs reused =       3562
3.56.426.695 I slot      release: id  0 | task 3578 | stop processing: n_tokens = 1085, truncated = 0
3.56.437.577 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.187 (> 0.100 thold), f_keep = 0.176
3.56.470.665 I slot launch_slot_: id  0 | task 3686 | processing task, is_child = 0
4.03.264.802 I slot print_timing: id  0 | task 3686 | prompt eval time =    4409.90 ms /   828 tokens (    5.33 ms per token,   187.76 tokens per second)
4.03.264.817 I slot print_timing: id  0 | task 3686 |        eval time =    2384.18 ms /   107 tokens (   22.49 ms per token,    44.46 tokens per second)
4.03.264.818 I slot print_timing: id  0 | task 3686 |       total time =    6794.08 ms /   935 tokens
4.03.264.819 I slot print_timing: id  0 | task 3686 |    graphs reused =       3666
4.03.264.885 I slot      release: id  0 | task 3686 | stop processing: n_tokens = 1125, truncated = 0
4.03.273.527 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.194 (> 0.100 thold), f_keep = 0.170
4.03.326.747 I slot launch_slot_: id  0 | task 3794 | processing task, is_child = 0
4.09.879.338 I slot print_timing: id  0 | task 3794 | prompt eval time =    3904.30 ms /   793 tokens (    4.92 ms per token,   203.11 tokens per second)
4.09.879.349 I slot print_timing: id  0 | task 3794 |        eval time =    2648.24 ms /   109 tokens (   24.52 ms per token,    40.78 tokens per second)
4.09.879.350 I slot print_timing: id  0 | task 3794 |       total time =    6552.54 ms /   902 tokens
4.09.879.351 I slot print_timing: id  0 | task 3794 |    graphs reused =       3772
4.09.879.416 I slot      release: id  0 | task 3794 | stop processing: n_tokens = 1092, truncated = 0
4.09.890.639 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.170 (> 0.100 thold), f_keep = 0.120
4.09.971.791 I slot launch_slot_: id  0 | task 3904 | processing task, is_child = 0
4.15.161.284 I slot print_timing: id  0 | task 3904 | prompt eval time =    3098.87 ms /   639 tokens (    4.85 ms per token,   206.20 tokens per second)
4.15.161.301 I slot print_timing: id  0 | task 3904 |        eval time =    2090.57 ms /    90 tokens (   23.49 ms per token,    42.57 tokens per second)
4.15.161.302 I slot print_timing: id  0 | task 3904 |       total time =    5189.43 ms /   729 tokens
4.15.161.303 I slot print_timing: id  0 | task 3904 |    graphs reused =       3860
4.15.161.921 I slot      release: id  0 | task 3904 | stop processing: n_tokens = 859, truncated = 0
4.15.174.232 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.243 (> 0.100 thold), f_keep = 0.218
4.15.199.312 I slot launch_slot_: id  0 | task 3995 | processing task, is_child = 0
4.20.999.316 I slot print_timing: id  0 | task 3995 | n_gen =    142, tg =  46.73 t/s, tg_3s =  47.06 t/s
4.21.394.412 I slot print_timing: id  0 | task 3995 | prompt eval time =    2782.64 ms /   583 tokens (    4.77 ms per token,   209.51 tokens per second)
4.21.394.424 I slot print_timing: id  0 | task 3995 |        eval time =    3412.40 ms /   160 tokens (   21.46 ms per token,    46.59 tokens per second)
4.21.394.425 I slot print_timing: id  0 | task 3995 |       total time =    6195.04 ms /   743 tokens
4.21.394.426 I slot print_timing: id  0 | task 3995 |    graphs reused =       4018
4.21.394.675 I slot      release: id  0 | task 3995 | stop processing: n_tokens = 929, truncated = 0
4.21.403.266 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.243 (> 0.100 thold), f_keep = 0.201
4.21.415.742 I slot launch_slot_: id  0 | task 4156 | processing task, is_child = 0
4.26.053.010 I slot print_timing: id  0 | task 4156 | prompt eval time =    2775.83 ms /   581 tokens (    4.78 ms per token,   209.31 tokens per second)
4.26.053.021 I slot print_timing: id  0 | task 4156 |        eval time =    1861.39 ms /    88 tokens (   21.40 ms per token,    46.74 tokens per second)
4.26.053.021 I slot print_timing: id  0 | task 4156 |       total time =    4637.22 ms /   669 tokens
4.26.053.023 I slot print_timing: id  0 | task 4156 |    graphs reused =       4104
4.26.053.084 I slot      release: id  0 | task 4156 | stop processing: n_tokens = 855, truncated = 0
4.26.064.691 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.243 (> 0.100 thold), f_keep = 0.219
4.26.080.825 I slot launch_slot_: id  0 | task 4245 | processing task, is_child = 0
4.31.016.585 I slot print_timing: id  0 | task 4245 | prompt eval time =    2902.92 ms /   582 tokens (    4.99 ms per token,   200.49 tokens per second)
4.31.016.600 I slot print_timing: id  0 | task 4245 |        eval time =    2032.78 ms /    92 tokens (   22.34 ms per token,    44.77 tokens per second)
4.31.016.601 I slot print_timing: id  0 | task 4245 |       total time =    4935.71 ms /   674 tokens
4.31.016.602 I slot print_timing: id  0 | task 4245 |    graphs reused =       4194
4.31.017.004 I slot      release: id  0 | task 4245 | stop processing: n_tokens = 860, truncated = 0
4.31.031.063 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.133 (> 0.100 thold), f_keep = 0.152
4.31.056.704 I slot launch_slot_: id  0 | task 4338 | processing task, is_child = 0
4.37.393.758 I slot print_timing: id  0 | task 4338 | prompt eval time =    4140.89 ms /   857 tokens (    4.83 ms per token,   206.96 tokens per second)
4.37.393.772 I slot print_timing: id  0 | task 4338 |        eval time =    2196.11 ms /    98 tokens (   22.64 ms per token,    44.17 tokens per second)
4.37.393.773 I slot print_timing: id  0 | task 4338 |       total time =    6337.00 ms /   955 tokens
4.37.393.774 I slot print_timing: id  0 | task 4338 |    graphs reused =       4289
4.37.394.967 I slot      release: id  0 | task 4338 | stop processing: n_tokens = 1085, truncated = 0
4.37.411.937 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.196 (> 0.100 thold), f_keep = 0.177
4.37.451.141 I slot launch_slot_: id  0 | task 4437 | processing task, is_child = 0
4.43.900.996 I slot print_timing: id  0 | task 4437 | prompt eval time =    4048.49 ms /   789 tokens (    5.13 ms per token,   194.89 tokens per second)
4.43.901.012 I slot print_timing: id  0 | task 4437 |        eval time =    2401.28 ms /   108 tokens (   22.44 ms per token,    44.56 tokens per second)
4.43.901.013 I slot print_timing: id  0 | task 4437 |       total time =    6449.78 ms /   897 tokens
4.43.901.014 I slot print_timing: id  0 | task 4437 |    graphs reused =       4394
4.43.901.102 I slot      release: id  0 | task 4437 | stop processing: n_tokens = 1088, truncated = 0
4.43.911.832 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.195 (> 0.100 thold), f_keep = 0.178
4.43.972.277 I slot launch_slot_: id  0 | task 4546 | processing task, is_child = 0
4.50.456.153 I slot print_timing: id  0 | task 4546 | prompt eval time =    4030.97 ms /   800 tokens (    5.04 ms per token,   198.46 tokens per second)
4.50.456.168 I slot print_timing: id  0 | task 4546 |        eval time =    2452.84 ms /   104 tokens (   23.81 ms per token,    41.99 tokens per second)
4.50.456.169 I slot print_timing: id  0 | task 4546 |       total time =    6483.81 ms /   904 tokens
4.50.456.170 I slot print_timing: id  0 | task 4546 |    graphs reused =       4495
4.50.456.272 I slot      release: id  0 | task 4546 | stop processing: n_tokens = 1097, truncated = 0
4.50.466.720 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.196 (> 0.100 thold), f_keep = 0.177
4.50.554.306 I slot launch_slot_: id  0 | task 4651 | processing task, is_child = 0
4.57.013.414 I slot print_timing: id  0 | task 4651 | prompt eval time =    4085.21 ms /   797 tokens (    5.13 ms per token,   195.09 tokens per second)
4.57.013.430 I slot print_timing: id  0 | task 4651 |        eval time =    2373.84 ms /    97 tokens (   24.73 ms per token,    40.44 tokens per second)
4.57.013.430 I slot print_timing: id  0 | task 4651 |       total time =    6459.05 ms /   894 tokens
4.57.013.432 I slot print_timing: id  0 | task 4651 |    graphs reused =       4589
4.57.013.495 I slot      release: id  0 | task 4651 | stop processing: n_tokens = 1087, truncated = 0
4.57.021.337 I srv    operator(): operator(): cleaning up before exit...
